Sınıf,Precision,Recall,F1,Support
alerjik reaksiyon,0.3333333333333333,0.5,0.4,2.0
aritmi,0.0,0.0,0.0,3.0
ateş,0.5294117647058824,0.6,0.5625,15.0
ağrı,0.5,0.2222222222222222,0.3076923076923077,9.0
baş ağrısı,0.6666666666666666,0.5,0.5714285714285714,4.0
bulantı,0.0,0.0,0.0,2.0
böbrek yetmezliği,0.3076923076923077,0.6666666666666666,0.42105263157894735,6.0
dic,0.0,0.0,0.0,2.0
diğer,0.8645833333333334,0.8615916955017301,0.8630849220103987,578.0
döküntü,0.6,0.75,0.6666666666666666,8.0
eklem ağrısı,0.0,0.0,0.0,2.0
enfeksiyon,0.4117647058823529,0.7,0.5185185185185185,10.0
felç,0.6,0.5,0.5454545454545454,6.0
göğüs ağrısı,0.0,0.0,0.0,2.0
halüsinasyon,0.42857142857142855,0.75,0.5454545454545454,4.0
kalp durması,1.0,0.3333333333333333,0.5,3.0
kalp krizi,0.6,0.5,0.5454545454545454,6.0
kanama,0.1111111111111111,0.07142857142857142,0.08695652173913043,14.0
kanser,0.2,0.5,0.2857142857142857,4.0
karaciğer yetmezliği,0.125,0.16666666666666666,0.14285714285714285,6.0
karın ağrısı,0.6666666666666666,0.4,0.5,5.0
koma,0.0,0.0,0.0,3.0
kusma,0.25,0.6666666666666666,0.36363636363636365,3.0
nefes darlığı,0.0,0.0,0.0,8.0
nöbet,0.6666666666666666,0.6666666666666666,0.6666666666666666,12.0
pıhtı,0.3,0.42857142857142855,0.35294117647058826,7.0
taşikardi,0.0,0.0,0.0,6.0
tümör,0.3333333333333333,0.2,0.25,5.0
vaskülit,0.0,0.0,0.0,2.0
yorgunluk,0.0,0.0,0.0,2.0
öksürük,0.75,1.0,0.8571428571428571,3.0
