Symptom,count
kanama,50
enfeksiyon,46
nöbet,42
ateş,42
ağrı,37
döküntü,30
tümör,29
kanser,28
nefes darlığı,24
taşikardi,21
karın ağrısı,20
karaciğer yetmezliği,20
böbrek yetmezliği,19
koma,19
pıhtı,18
halüsinasyon,17
aritmi,16
felç,15
zehirlenme,14
tanı,14
alerjik reaksiyon,12
öksürük,12
kalp durması,12
vaskülit,11
lezyon,10
depresyon,10
baş ağrısı,10
lupus,10
kalp krizi,10
burun kanaması,10
pıhtılaşma,10
tedavi,10
kusma,9
bacak ağrısı,9
hematüri,9
pıhtılaşma bozukluğu,9
seizure,9
göğüs ağrısı,8
hipoksi,8
kist,8
ms,8
alay,8
kurşun zehirlenmesi,8
solunum durması,7
v-fib,7
kardiyak arrest,7
anafilaktik şok,7
kitle,7
bayılma,7
solunum sıkıntısı,7
